"";"kommun_code";"year";"inkomst_median";"bef";"bef_diff";"bef_utv";"household";"kommun_name";"lan_code";"lan_name"
"1";"0114";"1968";NA;16230;NA;NA;NA;"Upplands Väsby";"01";"Stockholms län"
"2";"0115";"1968";NA;11380;NA;NA;NA;"Vallentuna";"01";"Stockholms län"
"3";"0117";"1968";NA;13595;NA;NA;NA;"Österåker";"01";"Stockholms län"
"4";"0120";"1968";NA;11154;NA;NA;NA;"Värmdö";"01";"Stockholms län"
"5";"0123";"1968";NA;44114;NA;NA;NA;"Järfälla";"01";"Stockholms län"
"6";"0125";"1968";NA;10177;NA;NA;NA;"Ekerö";"01";"Stockholms län"
"7";"0126";"1968";NA;51930;NA;NA;NA;"Huddinge";"01";"Stockholms län"
"8";"0127";"1968";NA;21813;NA;NA;NA;"Botkyrka";"01";"Stockholms län"
"9";"0128";"1968";NA;6415;NA;NA;NA;"Salem";"01";"Stockholms län"
"10";"0136";"1968";NA;38548;NA;NA;NA;"Haninge";"01";"Stockholms län"
"11";"0138";"1968";NA;23368;NA;NA;NA;"Tyresö";"01";"Stockholms län"
"12";"0139";"1968";NA;6832;NA;NA;NA;"Upplands-Bro";"01";"Stockholms län"
"13";"0140";"1968";NA;0;NA;NA;NA;"Nykvarn";"01";"Stockholms län"
"14";"0160";"1968";NA;35973;NA;NA;NA;"Täby";"01";"Stockholms län"
"15";"0162";"1968";NA;28067;NA;NA;NA;"Danderyd";"01";"Stockholms län"
"16";"0163";"1968";NA;35504;NA;NA;NA;"Sollentuna";"01";"Stockholms län"
"17";"0180";"1968";NA;758930;NA;NA;NA;"Stockholm";"01";"Stockholms län"
"18";"0181";"1968";NA;68665;NA;NA;NA;"Södertälje";"01";"Stockholms län"
"19";"0182";"1968";NA;42234;NA;NA;NA;"Nacka";"01";"Stockholms län"
"20";"0183";"1968";NA;28281;NA;NA;NA;"Sundbyberg";"01";"Stockholms län"
"21";"0184";"1968";NA;56588;NA;NA;NA;"Solna";"01";"Stockholms län"
"22";"0186";"1968";NA;35739;NA;NA;NA;"Lidingö";"01";"Stockholms län"
"23";"0187";"1968";NA;4535;NA;NA;NA;"Vaxholm";"01";"Stockholms län"
"24";"0188";"1968";NA;38072;NA;NA;NA;"Norrtälje";"01";"Stockholms län"
"25";"0191";"1968";NA;21775;NA;NA;NA;"Sigtuna";"01";"Stockholms län"
"26";"0192";"1968";NA;17317;NA;NA;NA;"Nynäshamn";"01";"Stockholms län"
"27";"0305";"1968";NA;4542;NA;NA;NA;"Håbo";"03";"Uppsala län"
"28";"0319";"1968";NA;10118;NA;NA;NA;"Älvkarleby";"03";"Uppsala län"
"29";"0330";"1968";NA;0;NA;NA;NA;"Knivsta";"03";"Uppsala län"
"30";"0331";"1968";NA;13836;NA;NA;NA;"Heby";"03";"Uppsala län"
"31";"0360";"1968";NA;21032;NA;NA;NA;"Tierp";"03";"Uppsala län"
"32";"0380";"1968";NA;124504;NA;NA;NA;"Uppsala";"03";"Uppsala län"
"33";"0381";"1968";NA;31077;NA;NA;NA;"Enköping";"03";"Uppsala län"
"34";"0382";"1968";NA;18248;NA;NA;NA;"Östhammar";"03";"Uppsala län"
"35";"0428";"1968";NA;9702;NA;NA;NA;"Vingåker";"04";"Södermanlands län"
"36";"0461";"1968";NA;0;NA;NA;NA;"Gnesta";"04";"Södermanlands län"
"37";"0480";"1968";NA;56455;NA;NA;NA;"Nyköping";"04";"Södermanlands län"
"38";"0481";"1968";NA;14680;NA;NA;NA;"Oxelösund";"04";"Södermanlands län"
"39";"0482";"1968";NA;18326;NA;NA;NA;"Flen";"04";"Södermanlands län"
"40";"0483";"1968";NA;32385;NA;NA;NA;"Katrineholm";"04";"Södermanlands län"
"41";"0484";"1968";NA;89972;NA;NA;NA;"Eskilstuna";"04";"Södermanlands län"
"42";"0486";"1968";NA;20412;NA;NA;NA;"Strängnäs";"04";"Södermanlands län"
"43";"0488";"1968";NA;0;NA;NA;NA;"Trosa";"04";"Södermanlands län"
"44";"0509";"1968";NA;6170;NA;NA;NA;"Ödeshög";"05";"Östergötlands län"
"45";"0512";"1968";NA;4550;NA;NA;NA;"Ydre";"05";"Östergötlands län"
"46";"0513";"1968";NA;10409;NA;NA;NA;"Kinda";"05";"Östergötlands län"
"47";"0560";"1968";NA;6367;NA;NA;NA;"Boxholm";"05";"Östergötlands län"
"48";"0561";"1968";NA;12802;NA;NA;NA;"Åtvidaberg";"05";"Östergötlands län"
"49";"0562";"1968";NA;24079;NA;NA;NA;"Finspång";"05";"Östergötlands län"
"50";"0563";"1968";NA;9253;NA;NA;NA;"Valdemarsvik";"05";"Östergötlands län"
"51";"0580";"1968";NA;101449;NA;NA;NA;"Linköping";"05";"Östergötlands län"
"52";"0581";"1968";NA;117792;NA;NA;NA;"Norrköping";"05";"Östergötlands län"
"53";"0582";"1968";NA;9620;NA;NA;NA;"Söderköping";"05";"Östergötlands län"
"54";"0583";"1968";NA;40027;NA;NA;NA;"Motala";"05";"Östergötlands län"
"55";"0584";"1968";NA;7713;NA;NA;NA;"Vadstena";"05";"Östergötlands län"
"56";"0586";"1968";NA;24069;NA;NA;NA;"Mjölby";"05";"Östergötlands län"
"57";"0604";"1968";NA;6318;NA;NA;NA;"Aneby";"06";"Jönköpings län"
"58";"0617";"1968";NA;7483;NA;NA;NA;"Gnosjö";"06";"Jönköpings län"
"59";"0642";"1968";NA;3914;NA;NA;NA;"Mullsjö";"06";"Jönköpings län"
"60";"0643";"1968";NA;5556;NA;NA;NA;"Habo";"06";"Jönköpings län"
"61";"0662";"1968";NA;25288;NA;NA;NA;"Gislaved";"06";"Jönköpings län"
"62";"0665";"1968";NA;11052;NA;NA;NA;"Vaggeryd";"06";"Jönköpings län"
"63";"0680";"1968";NA;104677;NA;NA;NA;"Jönköping";"06";"Jönköpings län"
"64";"0682";"1968";NA;33456;NA;NA;NA;"Nässjö";"06";"Jönköpings län"
"65";"0683";"1968";NA;28655;NA;NA;NA;"Värnamo";"06";"Jönköpings län"
"66";"0684";"1968";NA;11437;NA;NA;NA;"Sävsjö";"06";"Jönköpings län"
"67";"0685";"1968";NA;28638;NA;NA;NA;"Vetlanda";"06";"Jönköpings län"
"68";"0686";"1968";NA;18134;NA;NA;NA;"Eksjö";"06";"Jönköpings län"
"69";"0687";"1968";NA;18994;NA;NA;NA;"Tranås";"06";"Jönköpings län"
"70";"0760";"1968";NA;12098;NA;NA;NA;"Uppvidinge";"07";"Kronobergs län"
"71";"0761";"1968";NA;8358;NA;NA;NA;"Lessebo";"07";"Kronobergs län"
"72";"0763";"1968";NA;15118;NA;NA;NA;"Tingsryd";"07";"Kronobergs län"
"73";"0764";"1968";NA;18940;NA;NA;NA;"Alvesta";"07";"Kronobergs län"
"74";"0765";"1968";NA;15098;NA;NA;NA;"Älmhult";"07";"Kronobergs län"
"75";"0767";"1968";NA;11559;NA;NA;NA;"Markaryd";"07";"Kronobergs län"
"76";"0780";"1968";NA;56004;NA;NA;NA;"Växjö";"07";"Kronobergs län"
"77";"0781";"1968";NA;25247;NA;NA;NA;"Ljungby";"07";"Kronobergs län"
"78";"0821";"1968";NA;8569;NA;NA;NA;"Högsby";"08";"Kalmar län"
"79";"0834";"1968";NA;7783;NA;NA;NA;"Torsås";"08";"Kalmar län"
"80";"0840";"1968";NA;9939;NA;NA;NA;"Mörbylånga";"08";"Kalmar län"
"81";"0860";"1968";NA;19462;NA;NA;NA;"Hultsfred";"08";"Kalmar län"
"82";"0861";"1968";NA;13335;NA;NA;NA;"Mönsterås";"08";"Kalmar län"
"83";"0862";"1968";NA;11668;NA;NA;NA;"Emmaboda";"08";"Kalmar län"
"84";"0880";"1968";NA;51479;NA;NA;NA;"Kalmar";"08";"Kalmar län"
"85";"0881";"1968";NA;22066;NA;NA;NA;"Nybro";"08";"Kalmar län"
"86";"0882";"1968";NA;24982;NA;NA;NA;"Oskarshamn";"08";"Kalmar län"
"87";"0883";"1968";NA;42085;NA;NA;NA;"Västervik";"08";"Kalmar län"
"88";"0884";"1968";NA;17152;NA;NA;NA;"Vimmerby";"08";"Kalmar län"
"89";"0885";"1968";NA;10635;NA;NA;NA;"Borgholm";"08";"Kalmar län"
"90";"0980";"1968";NA;53876;NA;NA;NA;"Gotland";"09";"Gotlands län"
"91";"1060";"1968";NA;16209;NA;NA;NA;"Olofström";"10";"Blekinge län"
"92";"1080";"1968";NA;59436;NA;NA;NA;"Karlskrona";"10";"Blekinge län"
"93";"1081";"1968";NA;29182;NA;NA;NA;"Ronneby";"10";"Blekinge län"
"94";"1082";"1968";NA;30951;NA;NA;NA;"Karlshamn";"10";"Blekinge län"
"95";"1083";"1968";NA;14887;NA;NA;NA;"Sölvesborg";"10";"Blekinge län"
"96";"1214";"1968";NA;12050;NA;NA;NA;"Svalöv";"12";"Skåne län"
"97";"1230";"1968";NA;9461;NA;NA;NA;"Staffanstorp";"12";"Skåne län"
